V1,V2,V3,V4
-3.07382,-1.85576,-2.77588,-0.288894
0.349116,1.91906,1.00495,0.577845
-1.0097,0.272461,-0.912297,-2.69738
-0.807608,-1.58148,0.194378,-1.62227
2.07925,0.742812,1.92809,1.55822
3.2492,1.94461,1.799,2.38106
4.21552,0.769912,-0.517389,2.60619
4.69227,1.89548,3.05658,5.02234
3.014,4.42939,0.468941,4.84779
4.75072,4.9795,0.0979985,4.32777
0.313821,1.27112,-1.42716,-1.32768
-3.42807,-2.28121,-0.678229,-2.22506
-5.50788,-3.22358,-1.04539,-5.06773
-3.4017,-4.58924,-1.10571,-4.60783
-4.06768,-5.88128,-3.17164,-6.3688
-7.39754,-3.15888,-3.04222,-4.95856
-5.32692,-1.47152,-1.78714,-0.992012
1.20113,1.21693,0.693198,4.95798
3.86551,0.916101,2.33498,4.43835
2.04109,2.37861,5.5208,5.15617
1.56857,1.44672,2.94113,1.35137
0.808733,0.237412,-0.297643,-3.47892
2.96063,0.117215,0.124358,-3.00954
0.619456,-2.43742,-1.07539,-2.01345
0.863182,-2.62701,-1.89425,-0.408423
3.27281,1.19443,-1.00262,3.62888
3.42144,0.153345,-2.82746,2.46083
1.13084,0.606528,-1.04348,2.01532
2.10103,3.62973,1.16114,3.68697
4.30249,4.60462,3.18166,3.87582
2.51211,5.73608,4.68102,3.01754
-4.89391,0.314504,-3.57106,-3.5667
-8.45193,1.93602,-0.967448,-5.04916
-6.79952,-0.46123,-2.53978,-7.47034
-4.48834,-1.77694,-3.3953,-7.37533
-7.68605,-4.96746,-3.42072,-7.57255
-5.39797,-4.91969,-1.24048,-3.6973
0.723428,-3.95158,0.460453,0.396548
5.60064,-1.55107,2.93152,3.09253
5.7268,0.299843,2.02372,6.96194
5.53659,2.79329,5.76627,8.00377
4.55169,3.32877,3.85202,6.79335
5.01458,5.23874,3.5581,5.54238
5.85211,2.24758,2.82119,2.89817
2.64529,-3.04935,-2.52547,-1.40687
2.64477,-3.44583,-0.21329,-0.491474
-0.250724,-3.48255,-1.80626,-1.61345
-4.26298,-2.8155,-1.93459,-2.80256
-7.89863,-2.36433,-2.46578,-4.12424
-6.22215,0.288775,-2.48967,-2.43132
-3.59072,-0.660068,-4.52107,-2.85073
-4.53476,1.83344,-3.69218,-2.59845
-3.75109,-0.335015,-1.24268,-3.02673
-1.54679,1.40576,0.160411,-1.41131
3.42708,4.07007,3.84587,1.775
2.78176,1.88219,-0.082134,-1.02102
-1.59699,1.92465,0.97627,-1.30459
-0.322197,-0.0714318,1.30254,0.556308
2.05248,-1.14304,-1.65848,0.643141
6.63134,-0.754541,-0.576097,2.74379
4.67827,-0.151454,0.0332563,2.96384
3.84032,0.47588,3.50202,3.31002
4.32882,0.176008,3.00712,4.70556
4.39217,0.0599219,4.44895,4.85354
-0.751597,-1.93525,0.0498746,2.78978
-1.49052,0.998755,3.76991,3.86611
-2.2895,-2.95901,0.576983,0.296747
0.0151547,-3.04146,-2.20917,-3.08375
-2.16878,-1.75914,-1.75253,-3.20865
-8.6114,-2.214,-5.96646,-8.6762
-7.72261,0.92735,-4.4923,-7.1548
-7.74034,3.9066,-2.76313,-6.57438
-7.15561,2.44393,-2.2081,-4.03788
-2.27265,1.78572,-0.539869,-0.793071
2.23975,2.91178,1.83204,2.3811
8.15969,5.58982,4.79591,4.654
5.51098,4.28327,4.24194,3.02293
4.4839,0.174334,3.41459,2.03116
5.60262,-0.504253,1.23703,3.69395
5.62857,-1.51335,-0.0377929,2.91348
1.04,-3.6557,-1.90665,0.673989
-2.46999,-6.12832,-4.19295,0.128739
1.25996,-4.68894,-0.85166,2.39705
6.48424,-2.43917,0.632151,4.07005
3.47145,-1.33825,-1.36733,1.24408
-0.305143,-1.65046,0.0984331,-0.320494
-4.48435,-1.33988,-0.43429,-3.76074
-6.02488,4.17147,0.647707,-3.75686
-5.59849,3.66149,-0.647086,-5.89494
-6.30957,-0.972382,-2.90357,-5.57973
-3.92989,-0.381688,-1.75866,-2.81145
-0.982603,0.718033,-0.527437,-1.111
-0.842757,2.56807,1.52658,1.19842
-0.332973,2.97267,2.95178,2.71612
4.07521,4.83872,6.27286,5.00928
4.55878,2.89968,1.64244,2.03838
3.7612,0.220205,2.20177,2.14182
-0.916114,-2.77572,-0.466782,0.498491
-0.846966,-1.68148,-0.921145,1.34581
2.07716,-1.70177,-0.786752,1.41312
2.24457,-4.41115,-3.30457,-0.217012
0.224418,-2.57161,-0.650841,2.18496
-1.39553,-2.128,1.62875,3.57495
1.69887,0.485278,0.995447,1.59599
1.86941,0.370787,-1.16007,1.68053
-1.41184,-0.0597462,-2.15255,-2.612
-5.1017,1.1742,-1.9357,-6.15544
-2.04963,-0.24748,-0.966557,-5.88028
-2.34593,-1.40341,-4.98512,-5.55218
-1.1725,0.986446,-0.416785,-2.73735
0.842739,-0.456914,0.684182,-0.792627
3.62791,2.65945,5.46554,4.21479
7.94472,2.51336,5.8757,6.16272
5.33793,-0.28025,2.80362,4.54961
1.80267,-0.0787115,1.77055,2.99776
0.207733,0.664364,-0.587079,3.31202
-1.65647,0.923166,-2.36874,-0.321596
-6.79848,0.761466,-2.84133,-2.91077
-8.77696,-0.872195,-2.48796,-4.93126
-5.65866,-1.80932,-5.8362,-6.02888
